player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,donor_pool_size,p25,p50,p75,p90,sim_mean,sim_std,actual_season_total
00-0034796,QB,2025,BAL,17,17,13,0.9159663865546219,398,281.333226956316,293.11817127065626,307.03738546481617,318.1476012706973,294.13311611800987,19.318778775143887,219.79999999999995
00-0034855,QB,2025,TB,17,17,17,0.9149159663865546,398,274.79999999999995,274.79999999999995,274.79999999999995,274.79999999999995,274.8000000000001,1.7053025658242404e-13,274.79999999999995
00-0034857,QB,2025,BUF,17,17,17,0.9642857142857143,398,370.50000000000006,370.50000000000006,370.50000000000006,370.50000000000006,370.50000000000006,0.0,370.5
00-0034869,QB,2025,SEA,17,17,17,0.717436974789916,398,244.70000000000002,244.70000000000002,244.70000000000002,244.70000000000002,244.69999999999993,8.526512829121202e-14,244.70000000000002
00-0034955,QB,2025,CIN,17,17,1,0.14981617647058823,398,0.0,5.421472485561697,14.98912207793877,25.36644218325281,8.0524878592382,12.760912056785635,0.0
00-0035100,QB,2025,CIN,17,17,5,0.35294117647058826,398,69.55424509141261,84.42667232243878,100.48592049810131,115.79535833670016,86.51700913027973,22.810737607634138,48.800000000000004
00-0035228,QB,2025,ARI,17,17,5,0.8333333333333334,398,191.94330075488836,214.019327746994,236.5464982376957,262.28830298622023,216.06651018159627,33.82255181222904,80.0
00-0035264,QB,2025,DEN,17,17,1,0.2272058823529412,398,-4.075393731160629,4.546789630669231,14.44535149111791,25.4681238595202,5.699804039906166,15.090795762597114,0.0
00-0035289,QB,2025,KC,17,17,4,0.5925245098039216,398,42.913125708572224,60.873241933561744,79.73033487211964,99.33098592497754,62.60555598812699,27.452907769136498,0.2999999999999998
00-0035704,QB,2025,SEA,17,17,5,0.425,398,12.773130177038663,24.658160632495125,39.67488718035718,55.69265645063075,27.37469916571749,20.37731069568705,0.6
00-0035710,QB,2025,IND,17,17,13,0.7126225490196078,398,255.7535287323891,267.9787739454414,280.65640439009746,293.3696133295325,269.20928705646634,18.316721009482794,230.79999999999998
00-0035993,QB,2025,BAL,17,17,5,0.31764705882352945,398,62.05001924050463,76.46432903094089,91.27925696821401,107.21085434517732,78.47739986955959,22.13129088413922,40.599999999999994
00-0036212,QB,2025,MIA,17,17,14,0.7602941176470588,398,174.8023358516836,183.2454086065821,192.6569947290547,203.15539794112232,184.63971585202333,13.725535927703424,160.9
