position,season,window,actual_years,n_train_rows,receiving_floor,weighting,model,mae,rmse,medae,r2,spearman,bias,n
TE,2024,10y,10,15297,True,exponential,B_gbm_huber,2.8541931321656677,4.54892771179883,1.4660725681557787,0.3431137375566291,0.6618680161308094,-1.1519611197350745,1684
TE,2024,10y,10,15297,True,exponential,C_gbm_mae,2.7892359608217148,4.42032289781202,1.4946367612796811,0.37973096798991546,0.6510811219303768,-1.0131606659227994,1684
TE,2024,since2013,11,16751,True,n/a,existing_methodology,2.944319597569646,4.269298416380615,2.019588097455694,0.4213910684217601,0.6647187480298983,0.06236803646126322,1684
TE,2024,since2013,11,16751,True,none,B_gbm_huber,2.845706093270421,4.536113950597181,1.4698209467717454,0.34680925841716037,0.664301744617552,-1.1592894105088398,1684
TE,2024,since2013,11,16751,True,none,C_gbm_mae,2.738290008754925,4.367199803937117,1.4978909074947924,0.39455007141245,0.6585834062571844,-0.9638109279225012,1684
TE,2024,since2013,11,16751,True,linear,B_gbm_huber,2.8348215403897625,4.525056349914277,1.4684629948223662,0.34998991883296304,0.6648829386635393,-1.134622371642412,1684
TE,2024,since2013,11,16751,True,linear,C_gbm_mae,2.7642879017838267,4.376838053024173,1.498005282994808,0.3918747110784303,0.6530513683912031,-0.9445751348134426,1684
TE,2024,since2013,11,16751,True,exponential,B_gbm_huber,2.8570424251687374,4.56459710895654,1.4361774970965935,0.33858047599570573,0.6616550435822499,-1.1755374013595876,1684
TE,2024,since2013,11,16751,True,exponential,C_gbm_mae,2.800331165277089,4.450721250848768,1.4719674488358239,0.3711705119033525,0.6487910064039633,-1.0833126261233696,1684
TE,2024,all,18,20765,True,n/a,existing_methodology,2.9461027488390856,4.272424673086712,2.001762408657336,0.4205433683241734,0.6637775891941936,0.059346530008821105,1684
TE,2024,all,18,20765,True,none,B_gbm_huber,2.8599238138592904,4.539086578150933,1.5682047553314817,0.3459528738390515,0.6602288237159964,-1.1043692841998556,1684
TE,2024,all,18,20765,True,none,C_gbm_mae,2.749019270104972,4.383660177350546,1.5025816672671486,0.389977478626225,0.6604285468285753,-0.954912240463934,1684
TE,2024,all,18,20765,True,linear,B_gbm_huber,2.8464005273985595,4.543988494010616,1.5141967966881238,0.3445394550351971,0.658954424313338,-1.1466249640161492,1684
TE,2024,all,18,20765,True,linear,C_gbm_mae,2.749505832788913,4.375118140985461,1.5349021647674157,0.3923525521551442,0.6611207221072256,-0.9649877064329995,1684
TE,2024,all,18,20765,True,exponential,B_gbm_huber,2.848833193296654,4.558113634101721,1.446413779595943,0.3404580793147749,0.6642748133243108,-1.183508268756049,1684
TE,2024,all,18,20765,True,exponential,C_gbm_mae,2.7959990554554146,4.424023600260489,1.5155423336490663,0.37869195249347587,0.6502402739906755,-0.9792031053203714,1684
TE,2025,3y,3,4986,True,n/a,existing_methodology,3.0002394841741538,4.497321852701023,1.8883273453972984,0.4145865704624748,0.6803490959942274,-0.01241708355506296,1688
TE,2025,3y,3,4986,True,none,B_gbm_huber,2.964637864436163,4.877494154082612,1.5544257355338555,0.3114297453045518,0.6660390064570718,-1.3537055335281316,1688
TE,2025,3y,3,4986,True,none,C_gbm_mae,2.8827525807619425,4.668321990740066,1.5819201134239012,0.36922227386568507,0.6544565473249221,-1.0393752401362724,1688
TE,2025,3y,3,4986,True,linear,B_gbm_huber,2.977023411208559,4.8525809736014,1.50660415955965,0.31844591542097067,0.6614716582769421,-1.2675007928795838,1688
TE,2025,3y,3,4986,True,linear,C_gbm_mae,2.874904717257288,4.667653569818289,1.598501644147848,0.3694028933025456,0.6595337561049978,-1.1289105023402757,1688
TE,2025,3y,3,4986,True,exponential,B_gbm_huber,2.978277195603681,4.858928945675937,1.542780890350073,0.3166615799521937,0.6637974080141091,-1.287259922416235,1688
TE,2025,3y,3,4986,True,exponential,C_gbm_mae,2.8737693650886786,4.673310927731163,1.5167334199789053,0.3678733558366466,0.6605460452499684,-1.1070339828292752,1688
TE,2025,5y,5,8162,True,n/a,existing_methodology,2.9915940297848693,4.495240807373677,1.90722293814789,0.41512822171919117,0.6812082263264492,-0.04835113554609061,1688
TE,2025,5y,5,8162,True,none,B_gbm_huber,2.941346325576014,4.836804278983652,1.5504344251897444,0.3228704438083594,0.6678580542296862,-1.3372489306398887,1688
TE,2025,5y,5,8162,True,none,C_gbm_mae,2.8467080143762056,4.640587765215378,1.5999369052024237,0.37669483721712693,0.6682752384627897,-1.0617996901565063,1688
TE,2025,5y,5,8162,True,linear,B_gbm_huber,2.9403413594074825,4.843250017418988,1.5139777874856974,0.3210644959207698,0.668004591574771,-1.3700750514769573,1688
TE,2025,5y,5,8162,True,linear,C_gbm_mae,2.9332237978521003,4.759751869332293,1.6414069145840413,0.34427254318608924,0.6187781936092025,-1.3086705738728996,1688
TE,2025,5y,5,8162,True,exponential,B_gbm_huber,2.9457378390412816,4.844342727571124,1.5191941446770922,0.32075810521002646,0.6688100877665686,-1.3744349079521736,1688
TE,2025,5y,5,8162,True,exponential,C_gbm_mae,2.875090725693996,4.693860965998278,1.563602188187958,0.36230180794992706,0.6553687723561089,-1.2173073903144707,1688
TE,2025,7y,7,11137,True,n/a,existing_methodology,3.0059370922450546,4.491891631808954,1.9246640839257632,0.4159994135581957,0.6824647468790963,0.004573993416309321,1688
TE,2025,7y,7,11137,True,none,B_gbm_huber,2.9320630928061586,4.834798348465138,1.5270965781294732,0.3234319687781544,0.6734554042495459,-1.3445218229207756,1688
TE,2025,7y,7,11137,True,none,C_gbm_mae,2.8356107105332615,4.627119201061998,1.5320741254874755,0.38030767394658394,0.668431571858839,-1.020321826964768,1688
TE,2025,7y,7,11137,True,linear,B_gbm_huber,2.9473484492339006,4.85162927686454,1.542827910414122,0.31871322438348426,0.6671069060959557,-1.341489380367086,1688
TE,2025,7y,7,11137,True,linear,C_gbm_mae,2.884363398114264,4.719520966441314,1.553720266679743,0.3553105217329823,0.6511351722651492,-1.2653311589949225,1688
TE,2025,7y,7,11137,True,exponential,B_gbm_huber,2.954047698986408,4.859639678308642,1.56310584094278,0.31646165670156134,0.6665992316158068,-1.373043641494874,1688
TE,2025,7y,7,11137,True,exponential,C_gbm_mae,2.860314892974847,4.687071603554433,1.565482310298905,0.3641452511074761,0.6627497203370832,-1.200251350335129,1688
TE,2025,10y,10,15554,True,n/a,existing_methodology,3.009154439564119,4.489397663876689,1.9279417016138218,0.4166477259061172,0.6845415240959164,0.026273500928613677,1688
TE,2025,10y,10,15554,True,none,B_gbm_huber,2.9319376921538964,4.816940476815806,1.5268341160618855,0.32842069879793434,0.6747135985373325,-1.330952616322885,1688
TE,2025,10y,10,15554,True,none,C_gbm_mae,2.8232903406065453,4.617585496218256,1.5382897690985435,0.38285866824658554,0.6734056351983702,-1.0279154753259512,1688
TE,2025,10y,10,15554,True,linear,B_gbm_huber,2.930870782978127,4.8242989552102085,1.536680228385366,0.326367288999062,0.6711467539183719,-1.3316699332908868,1688
TE,2025,10y,10,15554,True,linear,C_gbm_mae,2.838447892139544,4.623440437964047,1.5369072629942377,0.381292647503913,0.666018627400027,-1.0267343204594637,1688
TE,2025,10y,10,15554,True,exponential,B_gbm_huber,2.9477716655004826,4.837448003209022,1.555189754490754,0.3226901951650133,0.6672694335014987,-1.335935556191142,1688
TE,2025,10y,10,15554,True,exponential,C_gbm_mae,2.870753302464093,4.6555203019948985,1.6184371325380735,0.37267702625264465,0.6596540900047576,-1.1457306539200023,1688
TE,2025,since2013,12,18435,True,n/a,existing_methodology,3.0085386171954025,4.48823725959088,1.9276038008998517,0.41694925276789163,0.6853612751983936,0.030420060389966194,1688
TE,2025,since2013,12,18435,True,none,B_gbm_huber,2.928758983229242,4.820986487490885,1.5364048942870248,0.3272920329137706,0.6759699996409569,-1.3157837186836665,1688
TE,2025,since2013,12,18435,True,none,C_gbm_mae,2.8306276441709968,4.637786750015091,1.5605852967830787,0.37744705242050447,0.6753551366102749,-1.06134486355611,1688
TE,2025,since2013,12,18435,True,linear,B_gbm_huber,2.935082490255159,4.828368426021335,1.5375648915377729,0.32523034251822447,0.6707132697925561,-1.3208476176327841,1688
TE,2025,since2013,12,18435,True,linear,C_gbm_mae,2.8340393043140764,4.618634371586907,1.5616974647286264,0.3825782715503767,0.6712168888190073,-1.0279353722350102,1688
TE,2025,since2013,12,18435,True,exponential,B_gbm_huber,2.9568099167899526,4.8432860110759215,1.5604822438805737,0.32105440457205503,0.6670825038862713,-1.329311571649302,1688
TE,2025,since2013,12,18435,True,exponential,C_gbm_mae,2.8550352743152914,4.625734542222393,1.578705465632377,0.3806785025476379,0.670031660948393,-1.056241640358832,1688
TE,2025,all,19,22449,True,n/a,existing_methodology,3.010854347269117,4.488422588173079,1.9466574817607523,0.416901101035703,0.6846557031028555,0.03381239013259486,1688
TE,2025,all,19,22449,True,none,B_gbm_huber,2.934997757865735,4.813794868036371,1.6161888239518318,0.32929753586258115,0.6756396948688614,-1.2734868820152403,1688
TE,2025,all,19,22449,True,none,C_gbm_mae,2.802230756273225,4.6458427555074335,1.5410382592903966,0.3752823794388668,0.6775011639266314,-1.1364123605401166,1688
TE,2025,all,19,22449,True,linear,B_gbm_huber,2.9310901624432852,4.826059072875133,1.5669489551585993,0.3258756573077992,0.6723928794092289,-1.321146130300417,1688
TE,2025,all,19,22449,True,linear,C_gbm_mae,2.808456227289795,4.625391964640261,1.5017876024553038,0.3807702318947621,0.6748700733694452,-1.1058002229549246,1688
TE,2025,all,19,22449,True,exponential,B_gbm_huber,2.9453582722358984,4.8293476781288405,1.6024329442278473,0.324956611701958,0.6696180999351011,-1.3482073963407435,1688
TE,2025,all,19,22449,True,exponential,C_gbm_mae,2.859300846310308,4.639645179517508,1.5673721255739084,0.3769480201731882,0.6669866213589745,-1.056274377117025,1688
