player_id,week,receiving_yards,receptions,targets,receiving_tds,player_name,team,position,season,fantasy_points
00-0034270,1,50.0,2.0,2.0,0,Tyler Conklin,LAC,TE,2025,7.0
00-0034270,3,0.0,0.0,2.0,0,Tyler Conklin,LAC,TE,2025,0.0
00-0034270,4,3.0,1.0,1.0,0,Tyler Conklin,LAC,TE,2025,1.2999999523162842
00-0034270,5,30.0,2.0,3.0,0,Tyler Conklin,LAC,TE,2025,5.0
00-0034270,10,12.0,1.0,1.0,0,Tyler Conklin,LAC,TE,2025,2.200000047683716
00-0034270,18,6.0,1.0,1.0,0,Tyler Conklin,LAC,TE,2025,1.600000023841858
00-0034351,1,44.0,7.0,7.0,0,Dallas Goedert,PHI,TE,2025,11.399999618530273
00-0034351,3,33.0,1.0,2.0,1,Dallas Goedert,PHI,TE,2025,10.300000190734863
00-0034351,4,37.0,4.0,4.0,2,Dallas Goedert,PHI,TE,2025,19.699999809265137
00-0034351,5,19.0,3.0,9.0,1,Dallas Goedert,PHI,TE,2025,10.900000095367432
00-0034351,6,110.0,9.0,11.0,1,Dallas Goedert,PHI,TE,2025,26.0
00-0034351,7,18.0,3.0,3.0,0,Dallas Goedert,PHI,TE,2025,4.800000190734863
00-0034351,8,28.0,3.0,3.0,2,Dallas Goedert,PHI,TE,2025,17.800000190734863
00-0034351,10,43.0,4.0,6.0,0,Dallas Goedert,PHI,TE,2025,8.300000190734863
00-0034351,11,24.0,2.0,5.0,0,Dallas Goedert,PHI,TE,2025,4.400000095367432
00-0034351,12,20.0,2.0,2.0,0,Dallas Goedert,PHI,TE,2025,4.0
00-0034351,13,27.0,2.0,4.0,0,Dallas Goedert,PHI,TE,2025,4.699999809265137
00-0034351,14,78.0,8.0,10.0,0,Dallas Goedert,PHI,TE,2025,15.800000190734863
00-0034351,15,70.0,6.0,7.0,2,Dallas Goedert,PHI,TE,2025,25.0
00-0034351,16,32.0,3.0,3.0,1,Dallas Goedert,PHI,TE,2025,12.199999809265137
00-0034351,17,8.0,3.0,6.0,1,Dallas Goedert,PHI,TE,2025,9.799999952316284
00-0034351,19,33.0,4.0,7.0,1,Dallas Goedert,PHI,TE,2025,13.300000190734863
00-0034365,5,20.0,3.0,3.0,0,Ian Thomas,LV,TE,2025,5.0
00-0034365,6,4.0,1.0,1.0,0,Ian Thomas,LV,TE,2025,1.399999976158142
00-0034365,9,9.0,1.0,1.0,0,Ian Thomas,LV,TE,2025,1.9000000953674316
00-0034365,11,20.0,1.0,1.0,0,Ian Thomas,LV,TE,2025,3.0
00-0034365,12,36.0,4.0,4.0,0,Ian Thomas,LV,TE,2025,7.600000381469727
00-0034365,13,8.0,1.0,1.0,0,Ian Thomas,LV,TE,2025,1.7999999523162842
00-0034365,14,17.0,2.0,2.0,0,Ian Thomas,LV,TE,2025,3.700000047683716
00-0034383,1,28.0,3.0,5.0,0,Dalton Schultz,HOU,TE,2025,5.800000190734863
00-0034383,2,29.0,3.0,4.0,0,Dalton Schultz,HOU,TE,2025,5.900000095367432
00-0034383,3,39.0,5.0,6.0,0,Dalton Schultz,HOU,TE,2025,8.899999618530273
00-0034383,4,30.0,5.0,6.0,0,Dalton Schultz,HOU,TE,2025,8.0
00-0034383,5,60.0,5.0,6.0,0,Dalton Schultz,HOU,TE,2025,11.0
00-0034383,7,98.0,9.0,11.0,0,Dalton Schultz,HOU,TE,2025,18.799999237060547
00-0034383,8,24.0,2.0,3.0,0,Dalton Schultz,HOU,TE,2025,4.400000095367432
00-0034383,9,77.0,6.0,8.0,0,Dalton Schultz,HOU,TE,2025,13.700000762939453
00-0034383,10,53.0,7.0,11.0,1,Dalton Schultz,HOU,TE,2025,18.300000190734863
00-0034383,11,51.0,6.0,9.0,0,Dalton Schultz,HOU,TE,2025,11.100000381469727
00-0034383,12,8.0,1.0,4.0,0,Dalton Schultz,HOU,TE,2025,1.7999999523162842
00-0034383,13,55.0,7.0,8.0,0,Dalton Schultz,HOU,TE,2025,12.5
00-0034383,14,22.0,3.0,4.0,0,Dalton Schultz,HOU,TE,2025,5.199999809265137
00-0034383,15,76.0,8.0,9.0,1,Dalton Schultz,HOU,TE,2025,21.600000381469727
00-0034383,16,35.0,5.0,5.0,1,Dalton Schultz,HOU,TE,2025,14.5
00-0034383,17,19.0,3.0,4.0,0,Dalton Schultz,HOU,TE,2025,4.900000095367432
00-0034383,18,73.0,4.0,4.0,0,Dalton Schultz,HOU,TE,2025,11.300000190734863
00-0034383,19,12.0,3.0,4.0,0,Dalton Schultz,HOU,TE,2025,4.199999809265137
00-0034383,20,47.0,2.0,2.0,0,Dalton Schultz,HOU,TE,2025,6.700000286102295
00-0034613,6,10.0,4.0,5.0,1,Tanner Hudson,CIN,TE,2025,11.0
00-0034613,8,9.0,1.0,2.0,0,Tanner Hudson,CIN,TE,2025,1.9000000953674316
00-0034613,9,42.0,2.0,2.0,0,Tanner Hudson,CIN,TE,2025,6.200000286102295
00-0034613,11,22.0,3.0,3.0,0,Tanner Hudson,CIN,TE,2025,5.199999809265137
00-0034613,12,9.0,1.0,1.0,0,Tanner Hudson,CIN,TE,2025,1.9000000953674316
00-0034613,13,14.0,1.0,2.0,1,Tanner Hudson,CIN,TE,2025,8.400000095367432
00-0034613,14,11.0,1.0,1.0,0,Tanner Hudson,CIN,TE,2025,2.0999999046325684
00-0034613,15,16.0,3.0,5.0,1,Tanner Hudson,CIN,TE,2025,10.599999904632568
00-0034613,16,4.0,1.0,1.0,0,Tanner Hudson,CIN,TE,2025,1.399999976158142
00-0034613,17,31.0,2.0,2.0,0,Tanner Hudson,CIN,TE,2025,5.100000381469727
00-0034753,1,5.0,1.0,1.0,0,Mark Andrews,BAL,TE,2025,1.5
00-0034753,2,2.0,1.0,3.0,0,Mark Andrews,BAL,TE,2025,1.2000000476837158
00-0034753,3,91.0,6.0,6.0,2,Mark Andrews,BAL,TE,2025,27.100000381469727
00-0034753,4,30.0,7.0,8.0,0,Mark Andrews,BAL,TE,2025,10.0
00-0034753,5,22.0,2.0,3.0,0,Mark Andrews,BAL,TE,2025,4.199999809265137
00-0034753,6,24.0,4.0,6.0,0,Mark Andrews,BAL,TE,2025,6.400000095367432
00-0034753,8,34.0,3.0,3.0,0,Mark Andrews,BAL,TE,2025,6.400000095367432
00-0034753,9,22.0,2.0,3.0,2,Mark Andrews,BAL,TE,2025,16.199999809265137
00-0034753,10,14.0,3.0,5.0,1,Mark Andrews,BAL,TE,2025,10.400000095367432
00-0034753,11,32.0,3.0,5.0,0,Mark Andrews,BAL,TE,2025,6.199999809265137
00-0034753,12,9.0,1.0,3.0,0,Mark Andrews,BAL,TE,2025,1.9000000953674316
00-0034753,13,47.0,4.0,6.0,0,Mark Andrews,BAL,TE,2025,8.700000762939453
00-0034753,14,9.0,1.0,5.0,0,Mark Andrews,BAL,TE,2025,1.9000000953674316
00-0034753,15,18.0,2.0,3.0,0,Mark Andrews,BAL,TE,2025,3.8000001907348633
00-0034753,16,21.0,2.0,3.0,0,Mark Andrews,BAL,TE,2025,4.100000381469727
00-0034753,17,28.0,4.0,4.0,0,Mark Andrews,BAL,TE,2025,6.800000190734863
00-0034753,18,14.0,2.0,3.0,0,Mark Andrews,BAL,TE,2025,3.4000000953674316
00-0034798,11,8.0,1.0,3.0,0,Durham Smythe,CHI,TE,2025,1.7999999523162842
00-0034798,12,4.0,1.0,1.0,0,Durham Smythe,CHI,TE,2025,1.399999976158142
00-0034798,14,2.0,1.0,1.0,0,Durham Smythe,CHI,TE,2025,1.2000000476837158
00-0034798,17,11.0,1.0,1.0,0,Durham Smythe,CHI,TE,2025,2.0999999046325684
00-0034798,19,6.0,1.0,2.0,0,Durham Smythe,CHI,TE,2025,1.600000023841858
00-0034798,20,5.0,1.0,1.0,0,Durham Smythe,CHI,TE,2025,1.5
00-0034829,1,14.0,1.0,3.0,0,Mike Gesicki,CIN,TE,2025,2.4000000953674316
00-0034829,2,18.0,3.0,4.0,0,Mike Gesicki,CIN,TE,2025,4.800000190734863
00-0034829,3,6.0,1.0,3.0,0,Mike Gesicki,CIN,TE,2025,1.600000023841858
00-0034829,4,8.0,1.0,1.0,0,Mike Gesicki,CIN,TE,2025,1.7999999523162842
00-0034829,5,15.0,2.0,5.0,0,Mike Gesicki,CIN,TE,2025,3.5
00-0034829,12,35.0,4.0,6.0,0,Mike Gesicki,CIN,TE,2025,7.5
00-0034829,13,19.0,2.0,4.0,0,Mike Gesicki,CIN,TE,2025,3.9000000953674316
00-0034829,14,86.0,6.0,6.0,1,Mike Gesicki,CIN,TE,2025,20.600000381469727
00-0034829,15,11.0,1.0,2.0,0,Mike Gesicki,CIN,TE,2025,2.0999999046325684
00-0034829,16,35.0,3.0,4.0,1,Mike Gesicki,CIN,TE,2025,12.5
00-0034829,17,47.0,2.0,2.0,0,Mike Gesicki,CIN,TE,2025,6.700000286102295
00-0034829,18,13.0,2.0,3.0,0,Mike Gesicki,CIN,TE,2025,3.3000001907348633
00-0034981,6,9.0,1.0,1.0,0,Foster Moreau,NO,TE,2025,1.9000000953674316
00-0034981,8,0.0,0.0,1.0,1,Foster Moreau,NO,TE,2025,6.0
00-0034981,10,16.0,2.0,3.0,0,Foster Moreau,NO,TE,2025,3.5999999046325684
00-0034981,12,0.0,0.0,1.0,0,Foster Moreau,NO,TE,2025,0.0
00-0034981,13,13.0,2.0,2.0,0,Foster Moreau,NO,TE,2025,3.3000001907348633
00-0034981,14,16.0,1.0,1.0,0,Foster Moreau,NO,TE,2025,2.5999999046325684
00-0034981,16,5.0,1.0,1.0,0,Foster Moreau,NO,TE,2025,1.5
00-0035229,1,15.0,3.0,4.0,0,T.J. Hockenson,MIN,TE,2025,4.5
