player,position,season,week,actual_ppr,prediction,model,fold,training_window,weighting_strategy,p25,p50,p75,p90
00-0033873,QB,2023,11,16.9,15.8,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,12,20.8,16.9,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,13,13.0,20.8,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,14,13.6,13.0,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,15,15.7,13.6,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,16,16.7,15.7,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,17,12.0,16.7,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,19,18.6,12.0,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,20,18.5,18.6,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,21,15.1,18.5,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,22,25.9,15.1,baseline_recent_game,2023,all,none,,,,
00-0033936,QB,2023,3,0.4,-0.8,baseline_recent_game,2023,all,none,,,,
00-0033936,QB,2023,6,-0.2,0.4,baseline_recent_game,2023,all,none,,,,
00-0033936,QB,2023,10,0.2,-0.2,baseline_recent_game,2023,all,none,,,,
00-0033936,QB,2023,11,0.0,0.2,baseline_recent_game,2023,all,none,,,,
00-0033936,QB,2023,13,3.2,0.0,baseline_recent_game,2023,all,none,,,,
00-0033936,QB,2023,16,8.4,3.2,baseline_recent_game,2023,all,none,,,,
00-0033936,QB,2023,17,9.5,8.4,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,1,3.0,10.4,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,2,25.2,3.0,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,3,17.1,25.2,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,4,23.4,17.1,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,5,8.7,23.4,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,6,10.1,8.7,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,7,16.1,10.1,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,8,22.9,16.1,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,9,24.9,22.9,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,10,25.1,24.9,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,11,16.9,25.1,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,12,4.5,16.9,baseline_recent_game,2023,all,none,,,,
00-0033949,QB,2023,14,4.6,4.5,baseline_recent_game,2023,all,none,,,,
00-0033958,QB,2023,7,-0.4,9.3,baseline_recent_game,2023,all,none,,,,
00-0033958,QB,2023,18,0.0,-0.4,baseline_recent_game,2023,all,none,,,,
00-0034177,QB,2023,11,-0.6,-2.9,baseline_recent_game,2023,all,none,,,,
00-0034177,QB,2023,12,7.4,-0.6,baseline_recent_game,2023,all,none,,,,
00-0034177,QB,2023,13,4.1,7.4,baseline_recent_game,2023,all,none,,,,
00-0034401,QB,2023,3,6.6,3.6,baseline_recent_game,2023,all,none,,,,
00-0034401,QB,2023,6,-2.4,6.6,baseline_recent_game,2023,all,none,,,,
00-0034401,QB,2023,12,-0.2,-2.4,baseline_recent_game,2023,all,none,,,,
00-0034401,QB,2023,13,0.1,-0.2,baseline_recent_game,2023,all,none,,,,
00-0034401,QB,2023,15,0.0,0.1,baseline_recent_game,2023,all,none,,,,
00-0034401,QB,2023,17,-2.0,0.0,baseline_recent_game,2023,all,none,,,,
00-0034438,QB,2023,18,-0.3,0.0,baseline_recent_game,2023,all,none,,,,
00-0034577,QB,2023,2,-0.2,6.1,baseline_recent_game,2023,all,none,,,,
00-0034577,QB,2023,3,-0.2,-0.2,baseline_recent_game,2023,all,none,,,,
00-0034577,QB,2023,4,-0.3,-0.2,baseline_recent_game,2023,all,none,,,,
00-0034577,QB,2023,6,0.0,-0.3,baseline_recent_game,2023,all,none,,,,
00-0034577,QB,2023,11,-0.2,0.0,baseline_recent_game,2023,all,none,,,,
00-0034577,QB,2023,15,-0.2,-0.2,baseline_recent_game,2023,all,none,,,,
00-0034577,QB,2023,17,-0.2,-0.2,baseline_recent_game,2023,all,none,,,,
00-0034771,QB,2023,15,0.1,3.1,baseline_recent_game,2023,all,none,,,,
00-0034771,QB,2023,16,20.0,0.1,baseline_recent_game,2023,all,none,,,,
00-0034771,QB,2023,17,11.5,20.0,baseline_recent_game,2023,all,none,,,,
00-0034771,QB,2023,18,8.0,11.5,baseline_recent_game,2023,all,none,,,,
00-0034771,QB,2023,19,16.8,8.0,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,1,6.6,1.3,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,2,22.9,6.6,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,3,28.2,22.9,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,4,28.1,28.2,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,5,9.9,28.1,baseline_recent_game,2023,all,none,,,,
00-0034796,QB,2023,6,17.1,9.9,baseline_recent_game,2023,all,none,,,,
